customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_000000,Male,0,No,No,51,Yes,Yes,No,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,50.4070284780257,4499.372290046956,Yes
CUST_000001,Female,0,No,Yes,47,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No internet service,Yes,One year,No,Mailed check,20.85547701181702,833.0285151230361,Yes
CUST_000002,Male,0,No,Yes,4,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No,Yes,Two year,No,Mailed check,103.36075586882403,4147.270980959086,No
CUST_000003,Male,1,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,One year,Yes,Electronic check,28.743269749364245,1527.3837626552368,No
CUST_000004,Male,0,Yes,No,35,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,83.07549980407677,4062.0722302025797,Yes
CUST_000005,Female,0,Yes,No,48,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No,Yes,No internet service,Two year,Yes,Mailed check,70.40749468400884,4609.3288682475395,No
CUST_000006,Male,1,No,No,45,No,No phone service,DSL,Yes,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Bank transfer,72.66893589263512,2194.719972772169,No
CUST_000007,Male,1,Yes,No,19,Yes,Yes,DSL,No,Yes,No,Yes,No,No internet service,One year,No,Electronic check,112.67128453077733,1888.7482051171012,No
CUST_000008,Male,1,No,No,63,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card,23.16150112712421,4030.8844629593787,No
CUST_000009,Female,0,Yes,No,38,Yes,Yes,DSL,No,No internet service,No internet service,No,No,No,One year,No,Credit card,97.33922246287723,2694.4661236590305,Yes
CUST_000010,Male,0,No,No,67,Yes,Yes,No,No internet service,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,25.205239836730712,3453.800337469666,No
CUST_000011,Male,0,No,Yes,59,Yes,Yes,DSL,No internet service,Yes,No,No internet service,Yes,Yes,One year,No,Credit card,23.81536059353772,3151.8632611097796,No
CUST_000012,Male,1,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,Yes,Yes,No,One year,Yes,Electronic check,62.98176981413819,849.155343659502,No
CUST_000013,Male,1,Yes,Yes,13,No,Yes,No,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,26.30751743429667,4239.472765418852,No
CUST_000014,Female,0,No,Yes,47,Yes,Yes,DSL,No internet service,No,No,No,Yes,No,Month-to-month,No,Bank transfer,98.91439512929121,1059.2980459243672,No
CUST_000015,Male,0,No,No,61,Yes,No phone service,DSL,Yes,No,No,Yes,No internet service,No internet service,Two year,Yes,Bank transfer,72.95630936483371,4668.182505946826,No
CUST_000016,Female,0,Yes,No,31,Yes,No,No,No internet service,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card,22.903878265977443,1327.7993279685245,No
CUST_000017,Female,1,Yes,Yes,22,Yes,No phone service,No,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,24.050068648191953,3696.0167690413355,Yes
CUST_000018,Female,1,No,Yes,43,No,Yes,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Credit card,81.26685297394795,1494.811428118601,Yes
CUST_000019,Male,0,Yes,No,67,Yes,Yes,DSL,No,Yes,No,Yes,No internet service,No,Two year,Yes,Mailed check,100.61118176584048,1657.1485020756331,No
CUST_000020,Female,0,No,No,54,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Two year,No,Bank transfer,63.779953127477356,1619.009078633296,No
CUST_000021,Male,0,No,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,Yes,One year,No,Electronic check,75.45806715356244,3764.672044727808,No
CUST_000022,Female,1,No,No,42,Yes,Yes,DSL,No,No,No internet service,No internet service,No internet service,No,Two year,Yes,Credit card,99.98294540499016,2828.394078050026,No
CUST_000023,Female,1,No,No,64,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,81.05061740418192,4426.467033652736,No
CUST_000024,Female,1,Yes,No,21,Yes,No,DSL,No,No internet service,No,Yes,Yes,Yes,Two year,Yes,Bank transfer,42.47602376588195,1606.1263240998198,No
CUST_000025,Female,0,Yes,Yes,66,Yes,No,DSL,Yes,No,Yes,No,No internet service,No,Month-to-month,No,Mailed check,81.30520258694786,3490.763358078047,No
CUST_000026,Female,0,Yes,Yes,41,Yes,No,DSL,No,No,Yes,Yes,No internet service,No,Month-to-month,No,Electronic check,82.82794590652136,3789.4481383492425,No
CUST_000027,Female,0,Yes,Yes,24,Yes,No,DSL,No,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Credit card,93.41069808811267,842.262353846795,No
CUST_000028,Female,0,Yes,No,35,Yes,Yes,DSL,No internet service,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,82.08741875568012,2062.8878508670746,No
CUST_000029,Female,1,Yes,No,56,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,No internet service,One year,Yes,Electronic check,116.9242130458038,2465.8057223170144,No
CUST_000030,Male,1,Yes,Yes,30,Yes,Yes,DSL,No,No internet service,Yes,No,No,No,Month-to-month,No,Credit card,39.72883087170685,1842.868210482434,No
CUST_000031,Male,1,No,Yes,57,Yes,Yes,DSL,No internet service,Yes,No,No internet service,Yes,No internet service,Two year,No,Mailed check,115.10906795670763,1678.3517202487767,No
CUST_000032,Female,1,Yes,Yes,47,Yes,No phone service,DSL,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Credit card,73.83394903500162,3463.4574805884454,Yes
CUST_000033,Female,0,Yes,No,35,Yes,No,No,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer,87.1956140494912,1157.7453485314938,Yes
CUST_000034,Female,0,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,29.946159745218985,3576.014651730531,No
CUST_000035,Male,1,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,One year,Yes,Electronic check,58.0575941378107,4681.716562314579,No
CUST_000036,Female,1,Yes,No,26,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,No,Two year,Yes,Credit card,96.93791464631727,2869.4678537709806,No
CUST_000037,Male,0,No,No,71,Yes,Yes,No,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,90.69110150989903,3096.027760023423,Yes
CUST_000038,Male,0,Yes,No,30,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,24.013938816541017,437.7702404080365,No
CUST_000039,Male,0,Yes,Yes,7,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,74.65942634972447,4335.936827727359,No
CUST_000040,Male,1,Yes,No,67,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,One year,Yes,Bank transfer,28.827819296840943,1498.694157279341,No
CUST_000041,Male,0,No,No,65,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,119.58564291781623,3113.750711089968,Yes
CUST_000042,Female,0,Yes,Yes,36,No,No,DSL,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,109.72965885332947,4897.649631749531,No
CUST_000043,Female,0,Yes,No,25,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Two year,No,Bank transfer,22.108066042853697,3017.9627428067583,No
CUST_000044,Female,0,No,Yes,37,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,No,One year,No,Mailed check,105.86495789026309,3651.07648857545,Yes
CUST_000045,Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,111.94296005584076,2282.066129296384,No
CUST_000046,Female,0,No,No,15,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,No,Two year,Yes,Bank transfer,55.35482225634551,395.7926332237811,No
CUST_000047,Male,0,No,No,37,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Credit card,91.95016550477659,4008.2368124999634,No
CUST_000048,Female,0,Yes,No,13,Yes,No,No,Yes,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card,64.21037462077788,271.4943221935298,No
CUST_000049,Female,0,No,No,8,No,No phone service,DSL,Yes,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,85.52324845763441,3533.223361550485,No
CUST_000050,Male,0,No,No,5,No,Yes,No,No,Yes,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer,54.031740429819145,212.315708433221,No
CUST_000051,Female,1,Yes,No,60,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,Yes,Two year,Yes,Electronic check,52.25592366332683,4325.295659225686,No
CUST_000052,Male,0,No,Yes,1,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No internet service,No,One year,No,Electronic check,62.443388885757905,872.4165755816049,Yes
CUST_000053,Female,0,No,Yes,36,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No internet service,Yes,Two year,Yes,Mailed check,34.55677586525012,2619.9303276685005,Yes
CUST_000054,Male,1,Yes,No,35,No,Yes,No,Yes,No internet service,No,No,No internet service,No,Month-to-month,Yes,Credit card,103.11389644353827,3026.038451967422,No
CUST_000055,Female,0,Yes,Yes,66,No,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,54.869789536163665,2341.9724961297193,Yes
CUST_000056,Female,0,Yes,No,63,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,60.01495539058452,1769.7410978095475,No
CUST_000057,Male,0,No,Yes,23,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No internet service,One year,Yes,Electronic check,109.40546127021446,2392.2900512867614,No
CUST_000058,Male,0,Yes,Yes,9,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No,Two year,No,Electronic check,69.66238140631714,1625.9371940176777,No
CUST_000059,Male,0,No,Yes,34,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No,Yes,One year,Yes,Electronic check,74.42539093508628,2246.7995006962296,No
CUST_000060,Male,0,No,No,46,Yes,No,DSL,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Credit card,115.64981247770984,1858.6736558903501,No
CUST_000061,Male,0,No,Yes,4,Yes,No,DSL,No internet service,No,No internet service,No,No internet service,Yes,Two year,Yes,Bank transfer,108.67263831449893,2874.403635185012,No
CUST_000062,Male,0,No,No,30,Yes,No,DSL,No internet service,No,Yes,No internet service,No internet service,No internet service,One year,Yes,Credit card,36.946670888843954,1265.828395000419,Yes
